   Pos X,   Pos Y,OffsetX(um),OffsetY(um),Height(um),Area(um2),Volume(um3), Area(%),Volume(%),  Result,Component ID,  PCB ID,    Time, PrintNo: 1  ID(1)
116.167,89.642,31.326,28.782,102.493,109858,11259610,95.84,77.346,        W.Insuffi.,  B2_PTF_D,1,4/2/2024 15:16,
122.124,90.378,32.52,28.758,117.605,111666,13132440,97.418,90.211,              GOOD,  B2_PTF_D,1,4/2/2024 15:16,
110.211,90.378,38.933,25.936,114.622,108342,12418390,94.518,85.306,              GOOD,  B2_PTF_D,1,4/2/2024 15:16,
104.255,89.642,20.338,29.669,108.702,102232,11112730,89.187,76.337,        W.Insuffi.,  B2_PTF_D,1,4/2/2024 15:16,
110.211,44.023,47.489,31.58,112.394,122777,13799400,107.111,94.792,              GOOD,  B2_PTF_C,1,4/2/2024 15:16,
104.255,43.287,29.239,29.884,103.678,114126,11832380,99.564,81.28,              GOOD,  B2_PTF_C,1,4/2/2024 15:16,
122.124,44.023,45.903,25.852,114.564,117100,13415480,102.159,92.155,              GOOD,  B2_PTF_C,1,4/2/2024 15:16,
116.167,43.287,38.88,26.848,100.178,117148,11735600,102.2,80.616,              GOOD,  B2_PTF_C,1,4/2/2024 15:16,
128.08,43.287,34.718,26.913,98.103,118209,11596650,103.126,79.661,        W.Insuffi.,  B2_PTF_C,1,4/2/2024 15:16,
122.124,37.419,29.698,46.539,106.785,111654,11923020,97.408,81.903,              GOOD,  B2_PTF_C,1,4/2/2024 15:16,
128.08,36.683,39.324,45.94,107.182,120700,12936860,105.299,88.867,              GOOD,  B2_PTF_C,1,4/2/2024 15:16,
110.211,37.419,39.032,42.743,101.697,118228,12023400,103.143,82.593,              GOOD,  B2_PTF_C,1,4/2/2024 15:16,
116.167,36.683,43.624,37.436,114.156,114073,13022140,99.518,89.453,              GOOD,  B2_PTF_C,1,4/2/2024 15:16,
104.255,36.683,44.586,41.865,112.203,115756,12988210,100.986,89.22,              GOOD,  B2_PTF_C,1,4/2/2024 15:16,
122.675,75.38,37.699,22.593,119.837,112733,13509500,98.348,92.801,              GOOD,  B2_PTF_A,1,4/2/2024 15:16,
122.675,63.467,45.589,31.948,117.466,113244,13302360,98.794,91.378,              GOOD,  B2_PTF_A,1,4/2/2024 15:16,
123.411,69.423,30.322,15.097,99.768,116268,11599810,101.432,79.683,        W.Insuffi.,  B2_PTF_A,1,4/2/2024 15:16,
