   Pos X,   Pos Y,  Result
42.548,47.719,              GOOD
37.874,47.719,              GOOD
37.874,94.074,              GOOD
42.548,94.074,              GOOD
49.787,94.074,              GOOD
54.461,94.074,              GOOD
55.743,79.342,              GOOD
48.504,79.342,              GOOD
43.831,79.342,              GOOD
36.592,79.342,              GOOD
177.112,79.342,        W.Insuffi.
183.31,79.342,        W.Insuffi.
189.025,79.342,        W.Insuffi.
195.222,79.342,        W.Insuffi.
194.981,94.074,              GOOD
189.266,94.074,              GOOD
183.068,94.074,              GOOD
177.353,94.074,              GOOD
177.353,47.719,        W.Insuffi.
183.068,47.719,        W.Insuffi.
189.266,47.719,        W.Insuffi.
194.981,47.719,        W.Insuffi.
195.222,32.987,        W.Insuffi.
189.025,32.987,        W.Insuffi.
183.31,32.987,        W.Insuffi.
177.112,32.987,        W.Insuffi.
107.112,79.342,              GOOD
113.31,79.342,              GOOD
119.025,79.342,              GOOD
125.222,79.342,              GOOD
124.981,94.074,              GOOD
119.266,94.074,              GOOD
113.069,94.074,              GOOD
107.354,94.074,              GOOD
107.354,47.719,              GOOD
113.069,47.719,              GOOD
119.266,47.719,              GOOD
124.981,47.719,              GOOD
125.222,32.987,              GOOD
119.025,32.987,              GOOD
113.31,32.987,              GOOD
107.112,32.987,              GOOD
37.112,32.987,              GOOD
43.31,32.987,              GOOD
49.025,32.987,              GOOD
55.223,32.987,              GOOD
54.981,47.719,              GOOD
49.266,47.719,              GOOD
43.069,47.719,              GOOD
37.354,47.719,              GOOD
37.354,94.074,              GOOD
43.069,94.074,              GOOD
49.266,94.074,              GOOD
54.981,94.074,              GOOD
55.223,79.342,              GOOD
49.025,79.342,              GOOD
43.31,79.342,              GOOD
37.112,79.342,              GOOD
177.607,79.342,        W.Insuffi.
182.814,79.342,        W.Insuffi.
189.52,79.342,        W.Insuffi.
194.727,79.342,        W.Insuffi.
195.476,94.074,              GOOD
188.771,94.074,              GOOD
183.564,94.074,        W.Insuffi.
176.858,94.074,              GOOD
176.858,47.719,        W.Insuffi.
183.564,47.719,        W.Insuffi.
188.771,47.719,        W.Insuffi.
195.476,47.719,        W.Insuffi.
194.727,32.987,        W.Insuffi.
189.52,32.987,        W.Insuffi.
182.814,32.987,        W.Insuffi.
177.607,32.987,        W.Insuffi.
107.608,79.342,              GOOD
112.815,79.342,              GOOD
119.52,79.342,              GOOD
124.727,79.342,              GOOD
125.476,94.074,              GOOD
118.771,94.074,              GOOD
113.564,94.074,              GOOD
106.858,94.074,              GOOD
106.858,47.719,              GOOD
113.564,47.719,              GOOD
118.771,47.719,              GOOD
125.476,47.719,              GOOD
124.727,32.987,              GOOD
119.52,32.987,              GOOD
112.815,32.987,              GOOD
107.608,32.987,              GOOD
37.608,32.987,              GOOD
42.815,32.987,              GOOD
49.52,32.987,              GOOD
54.727,32.987,              GOOD
55.477,47.719,              GOOD
48.771,47.719,              GOOD
43.564,47.719,              GOOD
36.858,47.719,              GOOD
36.858,94.074,              GOOD
43.564,94.074,              GOOD
48.771,94.074,              GOOD
55.477,94.074,              GOOD
54.727,79.342,              GOOD
49.52,79.342,              GOOD
42.815,79.342,              GOOD
37.608,79.342,              GOOD
178.077,79.342,        W.Insuffi.
182.345,79.342,        W.Insuffi.
189.99,79.342,        W.Insuffi.
194.257,79.342,        W.Insuffi.
195.946,94.074,              GOOD
188.301,94.074,        W.Insuffi.
184.034,94.074,        W.Insuffi.
176.388,94.074,              GOOD
176.388,47.719,        W.Insuffi.
184.034,47.719,        W.Insuffi.
188.301,47.719,        W.Insuffi.
195.946,47.719,        W.Insuffi.
194.257,32.987,        W.Insuffi.
189.99,32.987,        W.Insuffi.
182.345,32.987,        W.Insuffi.
178.077,32.987,        W.Insuffi.
108.077,79.342,              GOOD
112.345,79.342,              GOOD
119.99,79.342,              GOOD
124.257,79.342,              GOOD
125.946,94.074,              GOOD
118.301,94.074,              GOOD
114.034,94.074,              GOOD
106.388,94.074,              GOOD
106.388,47.719,              GOOD
114.034,47.719,              GOOD
118.301,47.719,              GOOD
125.946,47.719,              GOOD
124.257,32.987,              GOOD
119.99,32.987,              GOOD
112.345,32.987,              GOOD
108.077,32.987,              GOOD
38.078,32.987,              GOOD
42.345,32.987,              GOOD
49.99,32.987,              GOOD
54.257,32.987,              GOOD
55.947,47.719,              GOOD
48.301,47.719,              GOOD
44.034,47.719,              GOOD
36.389,47.719,        W.Insuffi.
36.389,94.074,              GOOD
44.034,94.074,              GOOD
48.301,94.074,              GOOD
55.947,94.074,              GOOD
54.257,79.342,              GOOD
